Taxa,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
Sphagnum,0.441083133,-0.131158728,-3.186574852,-0.527111286,0.414951046,2.462247258,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.560424111,-0.154020385,-2.264333956,-0.661756901,0.94279029,3.195726068,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.532900509,-0.167199148,-2.243767507,-0.716827369,1.239720271,3.632055419,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.57844691,-0.09375,-0.211126673,-0.289245194,0.280126424,1.578690355,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.565070965,-0.103448276,-0.765392157,-0.302386799,0.186589314,1.624135387,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.617952871,-0.134545455,-2.195902583,-0.677059218,1.012369667,3.288489333,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.521723355,-0.125975944,-0.937247432,-0.399390842,0.307679566,1.901602941,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.524517635,-0.147032772,-2.735200747,-0.657743757,0.712276549,3.113794636,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.389107814,-0.099352052,-1.138723934,-0.32964306,0.208888322,1.704187689,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.462485552,-0.0896023,-0.704593838,-0.29453358,0.182664324,1.610253402,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.401489166,-0.139470565,-2.528846872,-0.581110175,0.606970457,2.729240824,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.347330239,-0.121782178,-1.904760349,-0.393699927,0.20261545,1.903820756,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.484085805,-0.121561668,-2.095110489,-0.524658952,0.551109662,2.395170296,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.480264272,-0.168698736,-3.527757547,-0.721348139,0.746015348,3.650106093,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.358084442,-0.109830397,-2.550269219,-0.535611113,0.515113158,2.498530845,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.362736052,-0.14554258,-2.470683162,-0.48679435,0.403245876,2.290285824,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.654871546,-0.26349006,0.854800809,-0.334754575,0.200465564,1.594511702,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.58794422,-0.287553648,0.319898848,-0.349037256,0.236842795,1.62346189,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.660139339,-0.275624631,0.999797697,-0.322532769,0.172361327,1.554384648,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.626730352,-0.266850895,-0.79570028,-0.436711277,0.355842631,1.913409385,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.647893924,-0.374534624,-0.22186897,-0.436646359,0.374153613,1.841800978,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.516659857,-0.102027027,-1.853145036,-0.482085032,0.497798807,2.233256493,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.50709125,-0.212121212,-0.298039216,-0.44525327,0.42480482,1.953839333,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.660130719,-0.283771985,-0.029176782,-0.411614916,0.358429844,1.796153454,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.4462393,-0.178409559,-1.572875817,-0.490375624,0.380759191,2.219821731,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.390645752,-0.149433892,-1.671498599,-0.363163608,0.230532091,1.796122184,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.446711339,-0.145496536,-1.156159353,-0.388433307,0.283616754,1.860977944,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.466299658,-0.145673604,-0.792525677,-0.33038388,0.225362823,1.682608424,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.351473193,-0.176422348,-0.910739185,-0.315909671,0.109659126,1.628704155,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.460576947,-0.151750973,-1.138630563,-0.336612959,0.159879744,1.695692214,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.373714653,-0.170259335,-1.801328976,-0.375534513,0.165068472,1.831302228,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.584849887,-0.139483395,1.930530657,-0.168037589,0.125105633,1.26684642,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.460328508,-0.147531051,-2.62870526,-0.531862569,0.45535563,2.478205606,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.505353245,-0.111053044,-2.609495798,-0.692846319,0.850144932,3.405653796,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.539416551,-0.106906339,-2.215049798,-0.525336863,0.47446064,2.424430165,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.400906425,-0.267033879,-2.554931528,-0.47427426,0.202217039,2.188781915,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.508934788,-0.119443755,-1.475860566,-0.395198005,0.333349203,1.909274403,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.473419812,-0.146810146,-2.685300342,-0.705467194,0.826861972,3.463022675,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.560434344,-0.145440844,-2.108149704,-0.538580992,0.45093929,2.471742634,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.401186855,-0.151789387,-2.957692188,-0.533045187,0.409473157,2.494578313,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.400968124,-0.183977643,-1.285722067,-0.418473718,0.288212334,1.956958546,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.365251934,-0.05918028,1.854847495,-0.115997424,0.070558179,1.194539858,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.432959244,-0.145428874,-0.300245876,-0.309363977,0.196941124,1.609950518,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.511847673,-0.130190874,1.690426393,-0.174428,0.124442987,1.275773723,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.291531026,-0.22464986,-3.038134143,-0.546745729,0.255024662,2.461270034,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.413188167,-0.126331811,3.568099907,-0.068387887,0.054041665,1.086802658,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.549163793,-0.128617363,-0.678781513,-0.352572137,0.349195533,1.757476849,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.506987031,-0.146052456,2.189358855,-0.199078794,0.12345843,1.323737349,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.571411388,-0.143801653,-1.7710831,-0.79637234,1.887054829,4.330205031,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.581397787,-0.021008403,-2.349777467,-0.718705077,1.133015546,3.517008439,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.568556679,-0.114637402,-0.674733894,-0.378380373,0.388453477,1.822373475,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.689549962,-0.170469799,-1.455826331,-0.66292362,1.061939423,3.050028778,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.554275647,-0.09047619,-2.719004046,-0.811259317,1.363412493,4.394575534,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.604076742,-0.21559633,-2.724232804,-0.77772362,0.992794049,3.885210483,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.547154134,-0.109531773,-2.207307812,-0.587948957,0.646975043,2.727432929,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.526139219,-0.153358409,-2.343476502,-0.491350329,0.316076339,2.268540847,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.41701143,-0.134606129,-2.667184874,-0.560869352,0.485261459,2.586535498,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.362581244,-0.161157873,-3.112469655,-0.649085651,0.680436491,3.171238354,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.442341601,-0.08819748,-1.055322129,-0.328629239,0.203409091,1.700479717,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.369088301,-0.148810289,-2.697388733,-0.507015335,0.375249273,2.360759508,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.46659625,-0.115867974,-1.413344227,-0.409517529,0.377642376,1.959676311,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
